L1,L2,t,d,Secilen_Stress,Secilen_Displacement,Secilen_Kaynak,Kayit_Sayisi,Tum_Kaynaklar
75.0,50.0,10.0,15.0,3.9508,0.006697,l_braket_5.csv (d=15 mm),1,"l_braket_5.csv (d=15 mm): S=3.9508, D=0.006697"
75.0,55.0,6.0,15.0,9.6949,0.03101,l_braket_5.csv (d=15 mm),1,"l_braket_5.csv (d=15 mm): S=9.6949, D=0.03101"
75.0,55.0,8.0,15.0,6.1364,0.01307,l_braket_5.csv (d=15 mm),1,"l_braket_5.csv (d=15 mm): S=6.1364, D=0.01307"
75.0,55.0,10.0,15.0,3.9628,0.006699,l_braket_5.csv (d=15 mm),1,"l_braket_5.csv (d=15 mm): S=3.9628, D=0.006699"
80.0,30.0,4.0,12.0,23.013,0.09645,L_braket_6(1).csv,2,"L_Braket_Sonuclar.csv: S=23.013, D=0.09645 | L_braket_6(1).csv: S=23.013, D=0.09645"
80.0,30.0,4.0,15.0,22.819,0.09779,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=22.819, D=0.09779"
80.0,30.0,4.0,18.0,22.686,0.0996,L_braket_6(1).csv,2,"L_Braket_Sonuclar.csv: S=22.686, D=9.96 | L_braket_6(1).csv: S=22.686, D=0.0996"
80.0,30.0,4.0,21.0,22.477,0.10204,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=22.477, D=0.10204"
80.0,30.0,4.0,24.0,22.383,0.10522000000000001,L_Braket_Sonuclar.csv,1,"L_Braket_Sonuclar.csv: S=22.383, D=0.10522000000000001"
80.0,30.0,6.0,12.0,9.9994,0.02811,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=9.9994, D=0.02811"
80.0,30.0,6.0,15.0,9.8001,0.02857,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=9.8001, D=0.02857"
80.0,30.0,6.0,18.0,9.8032,0.02919,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=9.8032, D=0.02919"
80.0,30.0,6.0,21.0,9.7222,0.02999,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=9.7222, D=0.02999"
80.0,30.0,8.0,12.0,6.1109,0.01172,L_braket_6(1).csv,2,"L_Braket_Sonuclar.csv: S=6.1109, D=0.01172 | L_braket_6(1).csv: S=6.1109, D=0.01172"
80.0,30.0,8.0,15.0,6.0156,0.01193,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=6.0156, D=0.01193"
80.0,30.0,8.0,18.0,6.0949,0.01222,L_braket_6(1).csv,2,"L_Braket_Sonuclar.csv: S=6.0949, D=0.01222 | L_braket_6(1).csv: S=6.0949, D=0.01222"
80.0,30.0,8.0,21.0,5.8024,0.01259,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=5.8024, D=0.01259"
80.0,30.0,8.0,24.0,6.0249,0.01306,L_Braket_Sonuclar.csv,1,"L_Braket_Sonuclar.csv: S=6.0249, D=0.01306"
80.0,30.0,10.0,12.0,4.0689,0.005947,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=4.0689, D=0.005947"
80.0,30.0,10.0,15.0,4.0349,0.006068,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=4.0349, D=0.006068"
80.0,30.0,10.0,18.0,4.0709,0.006225,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=4.0709, D=0.006225"
80.0,30.0,10.0,21.0,3.8899,0.006432,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=3.8899, D=0.006432"
80.0,30.0,12.0,12.0,2.7568,0.03417,L_Braket_Sonuclar.csv,1,"L_Braket_Sonuclar.csv: S=2.7568, D=0.03417"
